frame,img_size,preprocess_ms,inference_ms,postprocess_ms,total_latency_ms,real_fps
0,240,407.53,148.44,406.62,962.59,0.01
1,240,4.95,30.65,4.64,40.25,22.74
2,240,5.66,43.49,17.38,66.53,14.02
3,240,3.17,21.21,3.45,27.82,34.29
4,240,8.14,43.95,7.82,59.92,16.12
5,240,3.8,27.37,5.0,36.17,26.02
6,240,11.53,23.05,5.67,40.25,23.39
7,240,5.33,22.67,4.63,32.63,29.32
8,240,6.62,26.44,8.08,41.14,23.26
9,240,5.01,30.55,5.74,41.3,22.97
10,240,3.63,27.21,2.88,33.72,26.1
11,240,11.11,25.5,3.61,40.22,22.78
12,240,4.67,28.03,6.28,38.97,24.07
13,240,9.45,27.93,2.94,40.32,23.11
14,240,4.62,23.93,13.65,42.21,22.61
15,240,8.78,27.55,5.28,41.61,22.83
16,240,5.15,21.97,4.55,31.67,30.19
17,240,7.24,28.66,6.38,42.28,22.12
18,240,9.04,33.37,4.48,46.89,20.58
19,240,7.57,25.04,3.72,36.33,26.19
20,240,3.19,21.63,3.23,28.05,33.7
21,240,5.73,30.48,11.22,47.43,20.37
22,240,5.07,27.54,4.3,36.92,25.85
23,240,7.71,30.86,3.91,42.48,22.49
24,240,7.41,31.77,6.35,45.53,21.17
25,240,5.5,24.71,4.94,35.15,27.13
26,240,5.78,31.87,3.9,41.54,22.92
27,240,8.06,28.82,5.82,42.7,22.53
28,240,6.01,29.61,7.04,42.65,22.4
29,240,5.47,21.2,8.17,34.83,27.43
30,240,6.14,33.17,3.22,42.53,22.74
31,240,7.26,23.39,6.71,37.35,25.08
32,240,5.12,25.92,9.23,40.28,23.93
33,240,3.38,25.81,4.29,33.48,28.58
34,240,7.63,32.15,3.25,43.03,20.71
35,240,3.57,25.68,5.66,34.91,27.14
36,240,7.08,32.65,3.59,43.32,21.43
37,240,3.28,25.69,7.59,36.56,22.11
38,240,11.16,28.0,6.22,45.37,21.01
39,240,4.93,22.78,4.96,32.67,29.25
40,240,9.06,29.14,6.12,44.32,21.8
41,240,3.35,31.02,7.74,42.12,22.92
42,240,7.15,30.17,3.51,40.83,23.62
43,240,3.42,24.56,3.89,31.87,29.91
44,240,6.63,40.38,3.33,50.34,19.25
45,240,6.4,29.05,9.56,45.02,21.22
46,240,7.28,28.14,5.56,40.97,23.41
47,240,5.31,26.39,8.35,40.04,23.34
48,240,9.62,29.29,4.18,43.08,22.24
49,240,7.32,29.52,8.27,45.11,20.27
50,240,5.36,28.21,5.98,39.56,24.35
51,240,4.76,28.91,4.67,38.34,24.97
52,240,5.26,28.43,7.9,41.59,23.16
53,240,3.21,29.24,4.0,36.44,26.38
54,240,6.4,33.75,4.86,45.01,21.16
55,240,5.98,25.19,10.7,41.86,22.01
56,240,5.31,28.43,6.51,40.24,24.02
57,240,7.12,29.83,4.99,41.94,22.86
58,240,3.46,29.37,4.58,37.41,25.67
59,240,10.83,29.94,5.4,46.17,20.49
60,240,5.08,32.65,9.27,46.99,20.25
61,240,3.4,22.39,7.43,33.22,28.58
62,240,9.81,27.83,7.38,45.02,21.31
63,240,6.49,27.08,4.5,38.06,25.12
64,240,8.36,27.15,5.34,40.85,23.12
65,240,3.76,31.45,4.7,39.91,23.6
66,240,3.32,27.25,5.12,35.69,26.82
67,240,3.16,27.46,12.24,42.86,22.18
68,240,4.56,27.06,5.88,37.5,25.32
69,240,3.37,29.08,7.44,39.89,23.81
70,240,6.09,30.59,8.43,45.12,20.11
71,240,3.71,28.81,4.52,37.05,25.92
72,240,3.56,28.68,4.06,36.3,26.47
73,240,5.49,33.55,4.16,43.2,21.8
74,240,3.32,31.57,10.89,45.78,20.72
75,240,5.34,27.59,4.9,37.82,25.44
76,240,6.43,38.29,3.73,48.44,19.28
77,240,5.67,27.3,10.63,43.6,21.17
78,240,3.7,24.79,5.82,34.3,27.76
79,240,8.16,28.48,5.16,41.8,22.97
80,240,4.78,26.81,8.73,40.32,23.58
81,240,6.67,32.58,3.32,42.57,22.15
82,240,9.01,27.93,10.69,47.63,20.35
83,240,7.29,33.66,5.29,46.24,20.66
84,240,9.94,38.2,4.74,52.89,18.33
85,240,8.88,36.38,5.53,50.79,19.04
86,240,3.29,22.52,7.76,33.57,28.47
87,240,6.34,29.74,4.67,40.76,23.15
88,240,5.43,30.81,12.83,49.07,19.73
89,240,4.81,32.59,5.09,42.49,22.68
90,240,8.83,27.19,10.11,46.13,20.73
91,240,10.51,26.53,4.7,41.73,22.59
92,240,5.15,24.51,7.65,37.31,24.7
93,240,3.66,26.56,7.9,38.12,24.89
94,240,4.59,34.22,8.0,46.81,19.91
95,240,11.81,34.79,5.03,51.63,18.36
96,240,5.18,32.26,7.51,44.95,21.48
97,240,6.34,33.99,3.37,43.7,21.98
98,240,9.85,29.74,7.86,47.45,19.94
99,240,6.5,31.35,7.2,45.04,21.37
100,240,5.3,34.67,3.95,43.92,20.94
101,240,3.93,30.03,4.43,38.39,24.95
102,240,8.62,30.69,3.5,42.81,22.1
103,240,5.87,28.21,8.33,42.41,22.08
104,240,5.08,39.23,4.28,48.59,19.52
105,240,4.41,28.76,8.68,41.84,22.65
106,240,7.2,35.97,4.43,47.6,19.91
107,240,6.5,25.56,10.54,42.59,21.5
108,240,3.37,33.71,6.4,43.48,21.9
109,240,3.47,29.82,4.34,37.63,25.54
110,240,3.54,28.9,5.1,37.54,25.53
111,240,7.23,29.07,6.79,43.09,21.67
112,240,6.87,25.93,4.48,37.27,25.73
113,240,5.28,27.36,5.0,37.64,24.45
114,240,3.56,32.93,8.49,44.98,21.07
115,240,7.8,31.68,9.52,48.99,19.53
116,240,6.88,37.47,8.54,52.89,18.05
117,240,6.84,29.85,11.9,48.59,19.97
118,240,12.05,29.65,4.88,46.57,20.42
119,240,6.76,36.35,10.97,54.08,17.73
120,240,10.49,34.57,7.24,52.3,18.48
121,240,5.32,35.52,6.78,47.62,20.32
122,240,3.69,32.04,4.94,40.68,23.74
123,240,9.39,29.47,9.49,48.35,20.03
124,240,3.91,29.2,7.57,40.68,23.16
125,240,10.75,33.65,7.46,51.86,18.29
126,240,7.19,28.94,10.2,46.34,20.49
127,240,6.33,30.65,9.24,46.22,20.73
128,240,5.18,25.97,10.79,41.94,22.41
129,240,9.21,33.24,8.96,51.41,18.42
130,240,6.3,31.64,10.39,48.33,20.01
131,240,9.7,30.3,8.8,48.8,19.7
132,240,3.36,28.34,4.73,36.44,26.32
133,240,9.0,35.82,4.33,49.16,19.34
134,240,3.65,36.67,9.0,49.32,19.55
135,240,4.14,27.39,4.19,35.73,26.67
136,240,3.4,27.54,6.13,37.07,25.9
137,240,7.63,30.61,9.0,47.24,20.5
138,240,5.28,29.0,5.46,39.74,24.21
139,240,6.13,31.99,4.26,42.39,21.89
140,240,5.42,26.53,6.92,38.87,24.55
141,240,5.06,29.07,6.13,40.26,23.9
142,240,5.36,34.01,6.75,46.12,21.0
143,240,6.62,33.38,6.81,46.82,20.61
144,240,5.88,29.12,5.63,40.63,23.74
145,240,5.89,23.65,8.36,37.89,24.79
146,240,8.09,23.59,9.89,41.57,22.42
147,240,7.93,26.77,3.91,38.62,24.91
148,240,9.48,24.48,5.59,39.54,24.23
149,240,4.01,23.38,4.02,31.41,29.79
150,240,5.03,34.35,6.14,45.52,21.26
151,240,7.69,22.74,4.11,34.54,26.77
152,240,6.62,28.91,6.48,42.0,22.45
153,240,5.08,24.0,7.87,36.96,25.36
154,240,6.46,31.33,5.66,43.45,22.22
155,240,6.52,26.9,4.01,37.43,25.5
156,240,6.42,24.93,10.56,41.91,22.78
157,240,7.48,27.41,9.98,44.86,21.31
158,240,5.67,30.51,4.63,40.81,23.14
159,240,8.52,25.53,12.16,46.21,20.85
160,240,5.35,29.88,3.36,38.59,24.68
161,240,10.6,22.8,8.34,41.74,22.43
162,240,5.05,27.11,5.68,37.84,25.33
163,240,3.26,28.95,6.38,38.59,24.65
164,240,11.59,25.24,6.24,43.07,22.09
165,240,4.53,25.51,10.23,40.28,23.58
166,240,5.41,26.92,3.74,36.07,26.53
167,240,5.38,23.09,6.82,35.3,26.27
168,240,5.73,26.91,7.46,40.1,22.85
169,240,6.13,29.98,12.66,48.77,19.84
170,240,4.25,23.58,5.07,32.9,28.42
171,240,3.81,34.63,5.35,43.79,21.89
172,240,5.22,31.49,7.57,44.28,21.82
173,240,8.14,26.85,7.22,42.21,22.64
174,240,3.58,25.09,5.25,33.92,28.06
175,240,5.19,31.71,4.86,41.76,22.94
176,240,4.82,26.94,5.07,36.82,26.06
177,240,6.72,30.6,5.7,43.02,22.22
178,240,6.32,30.69,10.81,47.81,20.21
179,240,4.8,27.65,4.96,37.42,25.49
180,240,7.54,32.01,4.22,43.77,20.79
181,240,4.54,29.08,5.0,38.62,24.93
182,240,6.54,27.02,5.13,38.7,24.36
183,240,9.02,21.98,3.56,34.56,27.23
184,240,8.89,29.26,5.24,43.39,21.76
185,240,3.39,26.73,4.2,34.31,27.89
186,240,11.83,30.19,4.42,46.44,19.83
187,240,3.18,29.39,7.29,39.86,23.97
188,240,4.54,33.2,3.46,41.2,23.48
189,240,4.89,23.7,11.69,40.28,23.02
190,240,7.47,29.9,7.46,44.82,21.35
191,240,8.04,23.34,8.79,40.17,23.37
