frame,img_size,preprocess_ms,inference_ms,postprocess_ms,total_latency_ms,real_fps,num_detections,avg_confidence
0,640,395.55,319.9,406.32,1121.77,0.01,24,0.583
1,640,19.51,162.47,6.75,188.73,5.23,25,0.587
2,640,14.74,164.63,9.16,188.53,5.06,25,0.564
3,640,16.26,151.53,5.27,173.06,5.66,29,0.534
4,640,23.6,153.22,6.53,183.35,5.36,24,0.568
5,640,31.0,149.34,7.2,187.54,5.2,32,0.52
6,640,27.22,154.01,5.26,186.48,5.27,27,0.556
7,640,36.52,161.36,109.8,307.69,3.19,31,0.54
8,640,30.35,175.84,5.39,211.58,0.27,31,0.542
9,640,18.7,148.26,5.36,172.33,5.76,29,0.545
10,640,23.02,140.36,7.74,171.12,5.8,31,0.534
11,640,18.29,143.28,5.36,166.93,5.93,27,0.561
12,640,18.25,168.56,6.16,192.97,5.07,28,0.538
13,640,24.85,139.45,6.03,170.32,5.82,26,0.589
14,640,24.34,137.18,5.44,166.96,5.94,29,0.57
15,640,22.55,157.16,6.23,185.95,5.32,29,0.573
16,640,15.81,157.09,8.57,181.47,5.48,24,0.588
17,640,25.0,139.71,5.26,169.97,5.83,27,0.547
18,640,22.18,142.73,8.77,173.68,5.59,28,0.541
19,640,21.45,137.63,7.95,167.03,5.92,30,0.525
20,640,25.44,136.43,7.93,169.81,5.8,26,0.555
21,640,27.92,150.47,15.3,193.69,5.1,27,0.539
22,640,28.36,136.82,5.77,170.95,5.79,27,0.57
23,640,24.45,136.63,5.37,166.45,5.95,27,0.549
24,640,25.21,158.6,5.6,189.41,5.24,26,0.557
25,640,21.7,137.03,5.33,164.06,6.03,31,0.531
26,640,26.06,136.45,8.86,171.37,5.77,25,0.571
27,640,30.76,159.67,5.89,196.33,5.06,26,0.559
28,640,22.37,140.69,6.3,169.36,5.85,24,0.565
29,640,27.32,142.86,6.01,176.19,5.62,27,0.558
30,640,27.64,143.38,5.31,176.32,5.61,27,0.57
31,640,26.44,142.57,7.21,176.22,5.63,27,0.57
32,640,24.81,149.2,11.1,185.11,5.36,27,0.583
33,640,26.66,143.83,5.29,175.78,5.65,30,0.574
34,640,26.22,147.15,6.51,179.88,5.5,29,0.559
35,640,27.77,144.32,6.6,178.69,5.55,27,0.554
36,640,21.63,142.67,5.27,169.57,5.85,33,0.525
37,640,26.13,160.47,7.36,193.96,5.11,26,0.559
38,640,14.81,157.96,7.99,180.77,5.5,27,0.57
39,640,23.45,140.81,5.32,169.57,5.77,30,0.536
40,640,29.52,151.8,9.09,190.41,5.2,27,0.549
41,640,26.77,145.0,7.54,179.31,5.53,29,0.541
42,640,26.49,150.39,6.14,183.01,5.41,27,0.537
43,640,29.88,145.62,5.56,181.06,5.47,23,0.577
44,640,19.74,147.83,5.73,173.29,5.54,25,0.57
45,640,31.76,157.85,9.04,198.66,4.99,25,0.561
46,640,22.82,139.84,5.26,167.93,5.9,28,0.544
47,640,20.99,145.8,10.11,176.9,5.61,25,0.585
48,640,24.39,137.75,5.23,167.37,5.89,27,0.566
49,640,23.28,137.08,5.28,165.63,5.97,30,0.534
50,640,18.99,155.29,7.04,181.32,5.46,29,0.548
51,640,22.55,137.51,5.23,165.29,6.0,28,0.543
52,640,24.35,144.93,6.23,175.51,5.65,27,0.545
53,640,26.6,146.08,5.23,177.91,5.47,23,0.571
54,640,25.96,140.15,5.46,171.58,5.77,27,0.54
55,640,23.19,141.19,5.59,169.96,5.85,26,0.549
56,640,23.4,139.63,9.23,172.26,5.72,24,0.576
57,640,23.29,154.77,7.33,185.39,5.35,26,0.557
58,640,30.38,139.52,6.95,176.85,5.6,33,0.524
59,640,26.88,136.34,6.01,169.22,5.87,31,0.533
60,640,20.71,143.46,10.19,174.36,5.69,28,0.579
61,640,33.32,144.18,10.75,188.25,5.25,28,0.568
62,640,20.41,136.45,7.05,163.92,6.04,27,0.562
63,640,23.54,142.97,8.83,175.34,5.66,24,0.595
64,640,25.3,141.72,6.05,173.07,5.74,26,0.587
65,640,24.78,139.81,5.25,169.84,5.83,30,0.573
66,640,24.35,140.86,9.97,175.19,5.64,30,0.562
67,640,26.72,142.5,5.35,174.57,5.69,34,0.528
68,640,25.24,143.46,8.92,177.63,5.55,33,0.531
69,640,30.12,145.03,7.97,183.12,5.43,33,0.531
70,640,21.36,136.93,6.8,165.08,5.98,37,0.51
71,640,25.11,142.37,8.74,176.22,5.62,31,0.535
72,640,21.58,144.26,5.66,171.5,5.8,30,0.539
73,640,19.52,156.58,7.03,183.13,5.41,32,0.51
74,640,26.45,147.2,6.76,180.41,5.49,29,0.553
75,640,22.97,146.4,5.56,174.92,5.65,31,0.537
76,640,24.57,155.0,5.44,185.01,5.37,29,0.536
77,640,23.46,142.11,5.26,170.83,5.68,31,0.535
78,640,23.63,147.96,6.18,177.76,5.57,27,0.549
79,640,26.54,146.79,5.43,178.76,5.56,27,0.553
80,640,27.98,172.77,6.27,207.02,4.8,23,0.594
81,640,29.44,144.74,5.3,179.48,5.53,27,0.544
82,640,32.07,141.81,5.22,179.1,5.53,23,0.575
83,640,25.22,148.1,5.38,178.7,5.54,26,0.556
84,640,28.44,136.6,5.23,170.27,5.82,26,0.547
85,640,23.35,142.67,6.08,172.1,5.75,29,0.548
86,640,30.0,144.64,5.29,179.93,5.48,26,0.574
87,640,21.52,137.59,5.38,164.49,6.01,29,0.554
88,640,23.43,158.95,6.37,188.75,5.25,30,0.541
89,640,26.6,138.98,5.45,171.02,5.81,27,0.55
90,640,25.11,135.92,5.27,166.3,5.92,26,0.546
91,640,27.37,145.25,8.84,181.46,5.45,28,0.533
92,640,22.73,141.05,6.2,169.97,5.81,26,0.559
93,640,23.68,149.72,7.63,181.03,5.48,28,0.539
94,640,21.96,139.75,6.32,168.03,5.85,33,0.509
95,640,22.3,136.31,5.29,163.9,6.05,28,0.537
96,640,22.42,148.05,5.32,175.79,5.64,26,0.551
97,640,25.8,137.19,5.37,168.37,5.74,32,0.507
98,640,23.95,140.58,8.69,173.22,5.7,33,0.504
99,640,30.98,139.81,6.02,176.81,5.58,27,0.539
100,640,22.13,141.05,8.36,171.54,5.79,31,0.497
101,640,24.12,148.92,5.35,178.39,5.54,29,0.499
102,640,27.13,138.5,7.94,173.57,5.7,26,0.527
103,640,22.74,141.86,6.15,170.74,5.78,30,0.517
104,640,32.54,159.2,5.66,197.4,5.02,25,0.554
105,640,21.15,140.45,6.81,168.41,5.88,29,0.533
106,640,25.71,144.04,8.91,178.66,5.55,27,0.539
107,640,24.07,137.31,5.43,166.82,5.84,31,0.505
108,640,22.55,158.17,8.74,189.45,5.23,27,0.525
109,640,30.25,154.95,8.7,193.9,5.11,30,0.52
110,640,24.13,143.48,7.63,175.24,5.62,31,0.505
111,640,24.08,147.67,5.31,177.05,5.6,27,0.536
112,640,21.51,144.45,5.77,171.73,5.78,32,0.5
113,640,23.86,143.5,8.8,176.16,5.62,30,0.519
114,640,32.18,147.53,9.7,189.41,5.22,31,0.502
115,640,24.3,138.17,5.53,168.0,5.86,29,0.528
116,640,23.24,158.65,8.74,190.62,5.2,26,0.549
117,640,27.91,142.55,7.6,178.06,5.55,28,0.544
118,640,22.46,140.16,6.07,168.69,5.86,27,0.548
119,640,28.03,147.18,5.26,180.48,5.48,26,0.55
120,640,24.09,138.35,5.59,168.02,5.88,29,0.54
121,640,23.59,150.1,9.41,183.1,5.41,29,0.547
122,640,31.2,143.4,8.73,183.34,5.34,33,0.538
123,640,23.37,136.69,5.32,165.38,5.99,34,0.523
124,640,23.9,147.18,6.19,177.27,5.57,33,0.541
125,640,27.11,136.87,5.66,169.65,5.85,32,0.553
126,640,24.92,138.76,8.98,172.65,5.73,31,0.557
127,640,22.69,142.13,6.21,171.02,5.71,32,0.557
128,640,23.76,137.85,5.4,167.01,5.91,34,0.553
129,640,24.13,140.08,7.63,171.85,5.74,32,0.554
130,640,24.52,161.12,5.37,191.01,5.19,31,0.57
131,640,25.68,137.61,5.33,168.63,5.89,34,0.539
132,640,24.59,167.22,9.85,201.65,4.93,31,0.564
133,640,20.82,136.46,5.76,163.04,6.08,34,0.552
134,640,24.15,139.3,7.59,171.05,5.76,31,0.569
135,640,29.55,143.21,5.39,178.16,5.46,28,0.599
136,640,21.55,137.08,5.34,163.97,6.03,29,0.583
137,640,21.28,140.93,6.1,168.32,5.88,30,0.562
138,640,24.36,147.7,6.8,178.86,5.55,29,0.572
139,640,25.9,139.44,7.11,172.46,5.75,33,0.537
140,640,23.3,161.39,10.42,195.11,5.09,29,0.584
141,640,29.88,139.23,5.42,174.53,5.7,29,0.577
142,640,28.3,142.28,7.02,177.6,5.57,29,0.574
143,640,28.13,139.06,6.44,173.62,5.69,30,0.593
144,640,20.14,139.85,5.58,165.57,5.98,31,0.586
145,640,23.74,161.46,14.61,199.81,4.98,32,0.588
146,640,26.16,139.67,5.46,171.29,5.78,31,0.569
147,640,27.95,149.52,6.28,183.75,5.39,32,0.564
148,640,30.12,162.29,5.35,197.76,5.02,31,0.575
149,640,26.18,136.95,5.95,169.09,5.84,31,0.573
150,640,22.68,142.35,10.38,175.41,5.65,29,0.577
151,640,23.5,141.41,5.58,170.49,5.82,29,0.591
152,640,30.39,140.73,8.75,179.88,5.53,30,0.582
153,640,28.21,146.71,8.09,183.02,5.41,31,0.574
154,640,27.54,139.16,8.34,175.04,5.65,30,0.565
155,640,23.36,159.52,8.91,191.79,5.16,30,0.586
156,640,27.6,146.65,5.34,179.59,5.54,28,0.595
157,640,27.27,136.14,5.91,169.33,5.83,31,0.577
158,640,29.48,141.45,6.14,177.08,5.6,29,0.582
159,640,21.45,137.17,6.2,164.82,5.91,33,0.565
160,640,24.72,143.44,8.62,176.78,5.59,30,0.601
161,640,32.69,139.2,5.69,177.58,5.47,31,0.608
162,640,27.35,140.76,8.56,176.67,5.6,30,0.611
163,640,22.04,145.55,6.24,173.83,5.72,34,0.575
164,640,26.64,138.8,5.65,171.09,5.81,36,0.543
165,640,22.33,138.69,5.34,166.36,5.94,32,0.556
166,640,32.42,147.75,5.47,185.64,5.36,30,0.575
167,640,22.54,142.21,6.21,170.97,5.81,29,0.578
168,640,22.11,148.54,10.38,181.03,5.48,31,0.554
169,640,30.13,143.43,6.29,179.85,5.51,29,0.578
170,640,27.62,137.38,5.69,170.69,5.79,31,0.552
171,640,23.63,151.73,5.58,180.95,5.46,30,0.559
172,640,21.25,137.6,8.44,167.29,5.91,33,0.551
173,640,22.34,139.4,6.28,168.02,5.9,30,0.571
174,640,32.75,140.79,7.68,181.22,5.48,30,0.553
175,640,26.29,137.16,5.46,168.91,5.86,31,0.552
176,640,24.52,164.0,6.21,194.73,5.09,27,0.587
177,640,25.32,146.71,5.89,177.92,5.58,30,0.571
178,640,22.46,151.31,8.93,182.7,5.4,29,0.583
179,640,30.7,161.8,5.69,198.19,5.01,34,0.569
180,640,25.76,140.28,5.36,171.4,5.79,32,0.568
181,640,20.76,147.13,10.33,178.22,5.55,31,0.569
182,640,27.36,145.42,7.95,180.73,5.5,32,0.534
183,640,19.91,146.22,5.59,171.72,5.78,32,0.557
184,640,30.11,144.24,6.07,180.41,5.51,33,0.529
185,640,23.57,138.02,5.66,167.26,5.91,33,0.528
186,640,24.62,152.46,10.04,187.13,5.28,33,0.549
187,640,28.73,143.04,8.01,179.78,5.5,31,0.579
188,640,28.18,138.43,6.17,172.77,5.73,35,0.544
189,640,24.43,146.12,7.78,178.32,5.58,32,0.56
190,640,25.27,137.0,7.88,170.15,5.82,34,0.536
191,640,25.36,155.04,6.15,186.55,5.31,31,0.554
192,640,26.79,145.37,6.66,178.83,5.52,34,0.551
193,640,27.32,184.62,7.44,219.37,4.53,30,0.589
194,640,36.34,150.31,5.58,192.23,5.16,33,0.561
195,640,23.84,142.8,5.62,172.26,5.74,33,0.572
196,640,25.61,153.88,10.51,190.0,5.23,37,0.525
197,640,34.94,145.81,6.0,186.75,5.33,34,0.531
198,640,24.28,145.12,5.4,174.79,5.68,32,0.553
199,640,24.38,142.8,5.36,172.54,5.76,35,0.526
200,640,25.33,147.23,5.34,177.9,5.57,28,0.554
201,640,26.98,140.57,5.29,172.84,5.71,31,0.547
202,640,23.74,149.83,8.35,181.92,5.45,32,0.553
203,640,24.07,145.44,6.04,175.56,5.61,31,0.549
204,640,21.31,147.53,10.02,178.86,5.54,33,0.536
205,640,31.88,139.03,8.48,179.38,5.52,29,0.569
206,640,21.94,138.3,9.09,169.33,5.86,28,0.581
207,640,24.67,163.15,10.47,198.3,5.0,31,0.56
208,640,18.86,140.64,6.39,165.89,5.97,31,0.558
209,640,24.18,136.69,5.85,166.72,5.93,31,0.562
210,640,30.34,140.09,5.44,175.87,5.65,33,0.556
211,640,25.63,136.71,5.52,167.86,5.9,30,0.56
212,640,16.26,145.5,5.4,167.15,5.95,33,0.563
213,640,27.88,149.67,8.27,185.81,5.33,35,0.534
214,640,26.13,142.9,5.48,174.52,5.7,33,0.523
215,640,26.11,147.39,8.57,182.08,5.44,29,0.536
216,640,28.52,142.18,5.98,176.69,5.62,29,0.561
217,640,24.97,143.13,5.27,173.38,5.72,33,0.541
218,640,25.44,142.36,6.16,173.96,5.7,35,0.532
219,640,21.47,140.98,8.03,170.49,5.83,26,0.593
220,640,25.36,136.42,5.74,167.52,5.91,29,0.553
221,640,28.15,140.78,7.8,176.73,5.59,28,0.574
222,640,20.54,137.13,7.59,165.26,5.99,28,0.577
223,640,23.16,140.15,8.75,172.07,5.77,32,0.556
224,640,27.74,143.7,7.95,179.39,5.52,32,0.567
225,640,24.67,136.03,5.31,166.0,5.95,29,0.563
226,640,20.67,160.63,10.33,191.63,5.19,33,0.551
227,640,25.23,137.73,6.24,169.2,5.85,29,0.573
228,640,23.64,138.33,7.59,169.56,5.85,29,0.573
229,640,43.72,146.18,6.51,196.42,5.04,29,0.581
230,640,23.43,138.7,5.29,167.42,5.94,29,0.583
231,640,24.38,139.57,6.16,170.12,5.8,30,0.592
232,640,28.25,140.64,5.42,174.31,5.7,31,0.58
233,640,21.49,140.75,5.69,167.94,5.9,31,0.575
234,640,30.92,151.51,6.25,188.68,5.25,35,0.56
235,640,25.82,153.52,8.03,187.36,5.3,30,0.583
236,640,23.17,138.19,9.08,170.43,5.8,31,0.582
237,640,23.18,160.97,6.39,190.55,5.21,34,0.564
238,640,23.77,141.03,5.32,170.12,5.84,34,0.57
239,640,25.65,137.65,5.35,168.66,5.89,34,0.566
240,640,33.22,140.78,5.41,179.42,5.54,36,0.562
241,640,27.43,137.38,5.39,170.2,5.84,34,0.568
242,640,26.51,141.81,9.21,177.53,5.58,33,0.584
243,640,29.84,142.42,7.75,180.0,5.51,31,0.615
244,640,28.75,136.88,5.59,171.22,5.81,30,0.595
245,640,26.11,137.64,6.16,169.91,5.85,28,0.613
246,640,34.4,167.25,5.79,207.44,4.77,30,0.567
247,640,24.84,144.75,5.42,175.01,5.68,32,0.56
248,640,22.04,145.14,5.38,172.56,5.73,30,0.576
249,640,32.07,144.83,7.59,184.5,5.38,28,0.588
250,640,28.85,138.58,5.68,173.11,5.73,27,0.608
251,640,19.06,139.55,9.17,167.79,5.89,28,0.583
252,640,30.3,140.85,9.3,180.46,5.48,30,0.579
253,640,26.6,136.49,6.03,169.12,5.85,27,0.605
254,640,29.11,139.59,5.49,174.18,5.7,32,0.565
255,640,29.14,147.59,10.56,187.29,5.31,30,0.588
256,640,24.77,137.28,6.41,168.46,5.89,28,0.601
257,640,25.11,136.7,9.0,170.81,5.8,29,0.604
258,640,32.23,158.3,6.22,196.75,5.05,31,0.587
259,640,22.68,136.31,5.34,164.33,6.04,32,0.575
260,640,27.05,143.98,8.67,179.7,5.45,32,0.599
261,640,35.62,155.27,5.32,196.2,5.07,28,0.606
262,640,20.52,144.4,5.46,170.37,5.82,28,0.611
263,640,22.02,155.25,6.68,183.94,5.36,31,0.593
264,640,20.5,155.29,5.46,181.26,5.48,29,0.6
265,640,29.36,146.56,6.14,182.06,5.46,30,0.591
266,640,21.15,143.15,6.17,170.47,5.82,32,0.587
267,640,26.28,139.79,8.29,174.36,5.68,27,0.627
268,640,25.94,135.72,5.86,167.52,5.89,26,0.649
269,640,32.77,157.54,7.44,197.75,5.01,28,0.626
270,640,24.52,136.35,5.95,166.82,5.94,27,0.607
271,640,24.55,137.05,5.43,167.03,5.93,27,0.615
272,640,29.69,141.87,13.31,184.87,5.37,29,0.583
273,640,25.72,137.29,5.87,168.88,5.89,30,0.577
274,640,24.37,138.94,6.1,169.41,5.84,26,0.599
275,640,26.96,140.46,5.57,172.99,5.7,31,0.566
276,640,27.38,139.12,5.57,172.06,5.75,27,0.604
277,640,23.83,145.41,6.68,175.92,5.62,22,0.638
278,640,29.87,136.98,5.5,172.35,5.74,24,0.605
279,640,21.7,138.23,5.3,165.23,5.98,27,0.576
280,640,26.81,144.82,14.02,185.65,5.35,24,0.609
281,640,23.1,136.41,5.53,165.04,5.94,25,0.596
282,640,24.63,146.02,5.44,176.09,5.59,26,0.591
283,640,24.04,150.85,8.17,183.06,5.41,29,0.562
284,640,21.88,141.39,6.47,169.74,5.86,28,0.566
285,640,24.31,137.18,13.04,174.53,5.67,28,0.592
286,640,26.87,151.29,5.38,183.54,5.33,28,0.59
287,640,23.17,145.87,5.58,174.62,5.66,30,0.548
288,640,24.92,145.33,11.47,181.72,5.45,28,0.57
289,640,18.28,141.53,6.01,165.81,5.97,31,0.546
290,640,22.09,144.4,5.76,172.25,5.74,28,0.561
291,640,19.88,155.2,9.46,184.54,5.38,29,0.557
292,640,24.7,141.42,5.29,171.41,5.77,27,0.571
293,640,22.88,150.24,9.84,182.96,5.41,27,0.594
294,640,26.53,140.47,5.27,172.27,5.75,32,0.55
295,640,25.43,139.34,5.87,170.64,5.82,31,0.547
296,640,21.87,149.65,6.59,178.11,5.54,29,0.561
297,640,26.91,143.03,5.3,175.25,5.66,27,0.59
298,640,23.31,140.04,5.38,168.73,5.87,28,0.563
299,640,28.52,165.16,5.32,199.0,4.98,28,0.581
300,640,29.45,152.0,5.38,186.82,5.31,28,0.589
301,640,23.67,151.68,6.22,181.57,5.44,31,0.559
302,640,18.64,147.41,5.28,171.33,5.79,29,0.563
303,640,17.26,145.36,5.24,167.87,5.9,25,0.584
304,640,23.41,164.65,7.85,195.91,5.06,30,0.549
305,640,23.81,144.15,9.52,177.48,5.58,27,0.577
306,640,20.88,175.31,6.19,202.39,4.91,27,0.59
307,640,25.37,149.26,7.78,182.41,5.42,28,0.564
308,640,20.66,146.76,6.22,173.64,5.67,26,0.58
309,640,22.69,151.59,7.27,181.55,5.46,25,0.596
310,640,23.25,143.63,5.38,172.26,5.77,29,0.561
311,640,24.99,138.3,5.33,168.61,5.84,24,0.602
312,640,27.74,139.95,7.55,175.24,5.67,23,0.608
313,640,24.54,139.24,5.43,169.22,5.85,20,0.63
314,640,23.46,138.02,5.95,167.43,5.91,20,0.621
315,640,39.09,143.97,6.56,189.62,5.24,21,0.625
316,640,21.92,137.05,5.65,164.62,6.01,22,0.606
317,640,24.67,147.49,8.57,180.73,5.46,24,0.595
318,640,22.27,140.44,5.29,168.0,5.89,27,0.564
319,640,20.85,145.14,6.11,172.1,5.77,23,0.616
320,640,18.08,145.41,6.07,169.57,5.85,23,0.592
321,640,22.94,140.67,6.22,169.83,5.83,23,0.587
322,640,23.63,142.27,5.28,171.18,5.8,24,0.575
323,640,24.84,144.33,9.21,178.37,5.55,28,0.564
324,640,26.47,141.47,5.23,173.16,5.74,26,0.562
325,640,22.16,141.56,5.22,168.95,5.85,23,0.591
326,640,24.44,146.28,9.51,180.24,5.5,22,0.598
327,640,25.06,141.19,5.92,172.17,5.76,21,0.592
328,640,24.97,140.29,5.94,171.19,5.79,23,0.592
329,640,27.11,151.97,8.02,187.1,5.3,21,0.623
330,640,26.09,144.53,5.19,175.81,5.62,23,0.618
331,640,27.79,145.49,6.02,179.3,5.51,21,0.622
332,640,23.6,158.65,5.35,187.6,5.3,22,0.623
333,640,18.21,140.76,5.42,164.39,6.03,22,0.608
334,640,26.55,146.78,6.24,179.57,5.52,22,0.589
335,640,35.2,136.97,8.82,180.98,5.46,23,0.594
336,640,26.42,135.74,5.25,167.41,5.94,24,0.581
337,640,21.79,151.47,6.64,179.9,5.53,22,0.63
338,640,31.29,146.0,8.98,186.26,5.33,24,0.578
339,640,23.49,139.48,5.24,168.22,5.88,25,0.586
340,640,16.02,149.92,6.1,172.03,5.78,24,0.586
341,640,26.96,156.15,5.26,188.38,5.26,25,0.577
342,640,24.28,141.89,5.23,171.4,5.69,23,0.611
343,640,22.52,154.07,8.59,185.18,5.34,24,0.597
344,640,28.93,136.96,5.23,171.12,5.78,23,0.606
345,640,25.62,137.13,6.19,168.93,5.88,24,0.593
346,640,23.82,144.32,8.94,177.07,5.58,24,0.595
347,640,27.44,138.11,5.35,170.9,5.82,23,0.586
348,640,23.46,139.6,5.23,168.29,5.9,22,0.611
349,640,25.76,158.82,7.72,192.29,5.13,23,0.593
350,640,22.84,144.91,5.82,173.57,5.7,23,0.596
351,640,21.3,142.15,5.98,169.43,5.86,25,0.582
352,640,30.07,142.15,6.91,179.13,5.54,23,0.601
353,640,23.58,165.68,7.31,196.57,5.03,27,0.582
354,640,25.57,146.51,6.17,178.25,5.57,29,0.564
355,640,29.65,145.29,5.96,180.9,5.5,28,0.563
356,640,23.91,139.09,6.31,169.31,5.86,26,0.594
357,640,20.96,142.43,7.36,170.75,5.8,28,0.568
358,640,31.56,144.22,5.29,181.07,5.49,26,0.59
359,640,24.95,138.23,5.31,168.5,5.87,27,0.603
360,640,26.15,157.9,6.15,190.21,5.22,24,0.617
361,640,27.25,141.83,7.37,176.44,5.62,26,0.606
362,640,23.16,138.74,7.62,169.51,5.83,26,0.611
363,640,21.55,150.68,6.68,178.91,5.55,27,0.588
364,640,25.77,141.71,6.52,174.0,5.7,29,0.577
365,640,24.01,138.71,8.73,171.45,5.68,23,0.624
366,640,26.96,141.82,9.6,178.38,5.44,27,0.598
367,640,25.71,138.2,5.53,169.43,5.86,24,0.611
368,640,23.38,137.62,5.88,166.87,5.82,25,0.618
369,640,29.51,146.52,5.68,181.71,5.44,23,0.633
370,640,24.75,137.09,5.54,167.37,5.92,24,0.601
371,640,27.75,141.08,10.26,179.09,5.54,25,0.603
372,640,31.65,148.57,5.2,185.42,5.35,24,0.609
373,640,29.23,137.82,5.27,172.32,5.77,23,0.612
374,640,27.16,147.73,9.35,184.24,5.38,24,0.596
375,640,33.72,137.28,6.07,177.07,5.59,23,0.622
376,640,26.79,137.87,5.25,169.9,5.85,23,0.616
377,640,25.52,154.2,6.17,185.89,5.33,24,0.61
378,640,25.92,137.94,5.32,169.18,5.86,25,0.595
379,640,24.64,138.52,5.24,168.39,5.88,23,0.611
380,640,19.57,172.65,9.31,201.52,4.92,25,0.601
381,640,23.47,147.89,5.3,176.66,5.63,25,0.598
382,640,25.53,139.78,7.94,173.25,5.65,25,0.613
383,640,32.26,149.56,7.02,188.84,5.24,29,0.569
384,640,26.25,144.19,5.29,175.72,5.66,24,0.627
385,640,23.83,143.34,8.76,175.92,5.62,29,0.582
386,640,27.5,143.94,8.31,179.75,5.49,27,0.58
387,640,18.21,147.44,5.24,170.88,5.81,26,0.586
388,640,24.47,146.85,5.81,177.13,5.55,24,0.596
389,640,27.72,137.12,5.61,170.45,5.83,22,0.626
390,640,19.84,139.33,6.46,165.64,5.98,25,0.589
391,640,29.43,140.88,6.35,176.66,5.58,29,0.565
392,640,23.3,141.13,5.93,170.36,5.84,26,0.575
393,640,25.26,145.83,6.06,177.15,5.61,29,0.577
394,640,29.38,141.52,9.06,179.96,5.48,28,0.577
395,640,24.68,138.8,5.31,168.79,5.82,27,0.592
396,640,26.21,146.45,8.54,181.2,5.49,24,0.602
397,640,27.25,137.84,5.28,170.38,5.84,25,0.593
398,640,24.26,142.62,10.65,177.52,5.59,23,0.606
399,640,22.78,162.83,6.17,191.79,5.18,27,0.591
400,640,27.7,143.25,5.53,176.47,5.61,26,0.585
401,640,28.69,148.68,6.07,183.44,5.41,28,0.579
402,640,20.66,146.09,5.31,172.07,5.76,26,0.578
403,640,24.09,141.62,5.22,170.93,5.81,29,0.568
404,640,21.65,140.85,5.39,167.9,5.9,26,0.587
405,640,18.9,136.87,6.0,161.78,6.12,28,0.567
406,640,23.86,140.16,8.73,172.76,5.73,30,0.55
407,640,28.35,139.79,7.64,175.79,5.61,26,0.588
408,640,27.23,139.92,7.57,174.71,5.69,31,0.562
409,640,24.06,144.45,7.8,176.32,5.64,31,0.561
410,640,23.57,145.4,5.37,174.34,5.69,30,0.555
411,640,19.12,141.87,9.24,170.23,5.8,31,0.549
412,640,28.89,142.55,5.4,176.84,5.62,30,0.557
413,640,24.17,139.55,5.67,169.39,5.87,32,0.533
414,640,27.99,141.34,7.46,176.8,5.61,29,0.555
415,640,27.04,137.48,6.4,170.91,5.79,30,0.549
416,640,22.32,137.05,5.39,164.76,6.0,31,0.548
417,640,28.24,150.92,5.62,184.78,5.35,28,0.572
418,640,22.07,137.78,7.54,167.39,5.92,28,0.547
419,640,22.81,145.28,8.69,176.78,5.62,27,0.566
420,640,28.33,137.0,5.74,171.07,5.78,25,0.586
421,640,22.08,137.95,5.61,165.63,5.98,28,0.558
422,640,27.03,140.34,5.34,172.71,5.74,28,0.588
423,640,25.44,149.23,5.28,179.96,5.5,26,0.598
424,640,27.69,141.52,10.59,179.8,5.53,28,0.589
425,640,28.81,136.61,5.56,170.97,5.79,29,0.582
426,640,22.16,137.12,5.53,164.8,5.99,30,0.591
427,640,27.04,159.98,5.86,192.87,5.14,32,0.572
428,640,22.74,137.62,7.17,167.53,5.89,30,0.587
429,640,26.52,142.13,8.23,176.88,5.61,29,0.6
430,640,29.73,136.96,6.12,172.81,5.7,31,0.587
431,640,24.44,145.04,13.52,183.0,5.43,31,0.583
432,640,31.95,138.58,6.21,176.75,5.6,33,0.542
433,640,24.88,136.14,5.33,166.36,5.95,32,0.547
434,640,20.05,147.11,7.81,174.97,5.67,29,0.56
435,640,27.39,136.79,5.3,169.48,5.85,32,0.549
436,640,25.46,148.41,6.08,179.95,5.52,27,0.58
437,640,29.95,139.99,5.41,175.35,5.64,30,0.558
438,640,23.59,137.53,5.67,166.78,5.94,28,0.569
439,640,27.01,149.96,8.82,185.79,5.33,31,0.58
440,640,24.55,136.34,5.61,166.5,5.94,32,0.54
441,640,23.1,136.74,6.41,166.26,5.94,29,0.569
442,640,26.62,140.61,5.49,172.72,5.73,30,0.574
443,640,26.87,138.06,7.46,172.4,5.75,29,0.596
444,640,23.55,142.13,6.12,171.8,5.74,30,0.584
445,640,25.75,136.37,5.54,167.66,5.92,31,0.573
446,640,26.8,136.29,5.34,168.43,5.87,29,0.567
447,640,29.03,143.73,10.28,183.05,5.43,30,0.572
448,640,20.34,139.23,5.74,165.31,5.99,29,0.582
449,640,24.7,142.39,11.12,178.2,5.43,31,0.572
450,640,37.8,139.3,5.3,182.4,5.45,30,0.581
451,640,28.61,137.05,6.11,171.76,5.78,30,0.571
452,640,29.44,169.04,5.52,204.0,4.87,31,0.57
453,640,24.94,136.14,5.4,166.48,5.94,31,0.578
