frame,img_size,preprocess_ms,inference_ms,postprocess_ms,total_latency_ms,real_fps,num_detections,avg_confidence
0,640,473.15,522.32,388.43,1383.9,0.01,19,0.455
1,640,15.39,411.91,5.47,432.78,2.29,17,0.452
2,640,12.3,437.14,11.46,460.9,2.14,15,0.476
3,640,13.73,407.3,5.61,426.64,2.3,17,0.484
4,640,11.28,16489.73,812.36,17313.38,0.06,14,0.5
5,640,18.45,436.65,5.56,460.66,2.1,15,0.505
6,640,28.68,419.95,6.85,455.48,2.16,17,0.509
7,640,27.73,431.91,6.11,465.74,2.12,20,0.492
8,640,25.65,423.64,9.6,458.89,2.16,15,0.437
9,640,23.43,428.34,5.59,457.36,2.18,16,0.462
10,640,29.41,417.53,10.17,457.11,2.18,15,0.465
11,640,32.68,416.23,6.83,455.74,2.19,17,0.47
12,640,18.64,435.86,5.48,459.98,1.46,16,0.455
13,640,14.66,1246.32,5.28,1266.26,0.79,13,0.463
14,640,13.61,407.76,8.93,430.31,1.84,15,0.456
15,640,22.4,417.66,5.07,445.14,2.24,17,0.462
16,640,18.25,425.45,5.22,448.92,2.22,15,0.451
17,640,28.49,412.63,5.46,446.58,2.12,14,0.481
18,640,29.93,409.96,5.99,445.88,2.24,15,0.488
19,640,11.58,415.05,5.75,432.37,0.4,13,0.496
20,640,12.53,404.41,5.04,421.98,1.04,13,0.543
21,640,24.58,439.28,5.1,468.97,2.11,12,0.546
22,640,18.87,416.96,5.04,440.87,2.26,13,0.511
23,640,23.09,410.66,5.77,439.53,2.25,14,0.526
24,640,27.96,403.14,8.97,440.07,2.27,17,0.457
25,640,23.34,405.7,5.19,434.23,2.29,14,0.467
26,640,20.16,415.33,7.67,443.16,2.25,17,0.449
27,640,30.07,425.4,7.53,463.01,2.14,14,0.5
28,640,21.19,419.9,8.33,449.42,2.2,14,0.515
29,640,30.82,419.0,8.84,458.65,2.17,14,0.508
30,640,24.99,416.25,8.38,449.63,2.22,14,0.49
31,640,20.34,414.76,6.06,441.16,2.24,11,0.545
32,640,24.1,411.6,5.39,441.09,2.26,17,0.478
33,640,18.36,416.54,5.36,440.25,2.27,15,0.467
34,640,27.62,403.14,8.96,439.72,2.24,16,0.466
35,640,26.01,416.03,6.35,448.39,2.21,14,0.503
36,640,29.47,404.93,5.12,439.51,2.24,14,0.495
37,640,23.6,424.82,5.07,453.49,2.2,12,0.551
38,640,23.89,412.6,5.05,441.54,2.24,12,0.565
39,640,20.79,411.54,8.44,440.77,2.24,13,0.489
40,640,18.83,399.97,7.42,426.23,2.32,12,0.571
41,640,36.28,401.64,7.45,445.37,2.22,14,0.494
42,640,21.54,408.64,8.3,438.48,2.28,16,0.537
43,640,24.98,414.09,8.74,447.81,2.23,13,0.555
44,640,29.39,409.51,7.61,446.51,2.21,15,0.532
45,640,25.34,411.5,7.43,444.26,2.24,16,0.507
46,640,25.0,408.85,9.42,443.27,2.24,14,0.513
47,640,22.05,405.17,5.33,432.54,2.31,14,0.509
48,640,26.19,412.25,5.3,443.73,2.22,13,0.516
49,640,24.8,407.54,5.07,437.4,2.26,14,0.559
50,640,24.89,413.24,5.08,443.21,2.25,13,0.538
51,640,25.28,414.25,9.65,449.18,2.22,13,0.553
52,640,28.17,415.36,7.64,451.17,2.21,14,0.552
53,640,22.83,421.01,7.4,451.24,2.19,12,0.585
54,640,20.51,415.02,7.41,442.94,2.23,11,0.559
55,640,25.62,403.16,5.76,434.54,2.29,13,0.578
56,640,25.23,402.47,5.37,433.07,2.3,15,0.537
57,640,21.77,405.93,8.13,435.83,2.27,12,0.585
58,640,21.86,413.78,8.35,444.0,2.24,13,0.546
59,640,33.07,404.83,7.42,445.32,2.24,13,0.564
60,640,33.6,406.86,9.01,449.47,2.22,12,0.579
61,640,26.64,407.79,8.25,442.68,2.25,12,0.59
62,640,24.51,419.18,8.97,452.66,2.2,14,0.575
63,640,22.88,414.16,5.82,442.86,2.23,16,0.546
64,640,28.55,403.2,5.16,436.91,2.28,13,0.524
65,640,19.51,408.17,8.09,435.77,2.26,14,0.526
66,640,21.71,413.76,7.33,442.8,2.25,14,0.544
67,640,20.99,414.46,6.62,442.06,2.24,14,0.568
68,640,20.93,409.01,6.35,436.3,2.28,13,0.553
69,640,38.74,403.14,8.83,450.71,2.19,13,0.529
70,640,24.04,415.21,5.02,444.27,2.22,11,0.582
71,640,26.76,409.19,5.07,441.02,2.26,15,0.47
72,640,24.22,411.05,15.75,451.02,2.2,14,0.46
73,640,26.49,405.99,6.03,438.51,2.27,15,0.46
74,640,27.75,405.58,7.39,440.72,2.26,12,0.496
75,640,22.91,410.62,7.55,441.08,2.26,12,0.468
76,640,24.71,409.29,7.45,441.46,2.26,12,0.543
77,640,23.46,411.23,6.18,440.87,2.26,12,0.556
78,640,25.11,418.47,5.86,449.45,2.21,11,0.558
79,640,23.07,421.53,7.45,452.06,2.21,15,0.552
80,640,22.88,410.29,7.72,440.89,2.24,13,0.539
81,640,22.9,412.83,7.78,443.5,2.25,13,0.499
82,640,25.03,407.92,7.93,440.88,2.24,13,0.543
83,640,26.83,403.35,5.73,435.91,2.26,13,0.489
84,640,20.91,422.13,5.55,448.59,2.22,11,0.513
85,640,23.72,407.32,8.77,439.81,2.27,15,0.501
86,640,24.53,408.51,5.6,438.64,2.27,13,0.55
87,640,19.32,400.9,7.8,428.02,2.33,16,0.519
88,640,27.61,403.72,7.36,438.69,2.27,14,0.498
89,640,23.8,417.88,6.4,448.09,2.23,14,0.569
90,640,26.85,407.37,8.09,442.31,2.24,14,0.48
91,640,20.03,400.03,5.6,425.66,2.34,13,0.525
92,640,23.5,416.31,5.04,444.85,2.24,14,0.491
93,640,23.58,416.08,5.09,444.76,2.24,15,0.496
94,640,22.84,438.57,5.44,466.84,2.12,12,0.495
95,640,27.97,405.83,6.98,440.78,2.26,16,0.474
96,640,28.49,404.43,8.24,441.16,2.24,12,0.526
97,640,27.33,404.44,5.0,436.78,2.28,14,0.485
98,640,26.58,409.83,4.99,441.41,2.25,11,0.547
99,640,25.96,407.31,5.49,438.75,2.27,15,0.498
100,640,17.78,416.86,5.88,440.52,2.26,15,0.487
101,640,31.07,407.03,10.04,448.14,2.22,14,0.552
102,640,30.19,407.65,5.28,443.12,2.25,15,0.507
103,640,21.73,409.9,7.64,439.28,2.27,15,0.485
104,640,26.29,412.99,8.39,447.67,2.23,12,0.52
105,640,21.5,400.95,8.87,431.32,2.31,11,0.545
106,640,37.25,405.11,5.12,447.48,2.22,14,0.48
107,640,26.44,405.36,5.44,437.24,2.26,13,0.541
108,640,21.69,411.08,5.69,438.46,2.27,13,0.5
109,640,24.86,406.14,7.86,438.86,2.27,11,0.517
110,640,21.56,406.81,8.02,436.39,2.26,13,0.491
111,640,25.24,402.23,4.99,432.45,2.28,13,0.515
112,640,27.03,406.48,5.43,438.94,2.25,13,0.534
113,640,21.83,407.09,5.03,433.94,2.27,14,0.49
114,640,22.79,401.48,4.99,429.26,2.32,13,0.537
115,640,18.18,407.56,9.32,435.07,2.29,13,0.511
116,640,23.13,411.56,5.19,439.88,2.27,18,0.459
117,640,28.42,408.24,5.53,442.18,2.25,16,0.487
118,640,22.19,409.02,10.14,441.35,2.26,11,0.517
119,640,28.11,399.85,10.65,438.6,2.27,15,0.512
120,640,27.5,414.74,5.04,447.27,2.21,14,0.503
121,640,30.14,415.18,6.64,451.97,2.2,14,0.521
122,640,23.74,405.11,5.26,434.12,2.29,16,0.461
123,640,22.15,397.38,5.05,424.58,2.32,16,0.488
124,640,26.63,411.52,4.99,443.15,2.23,14,0.534
125,640,23.91,410.23,7.5,441.64,2.26,15,0.52
126,640,24.59,402.85,5.78,433.22,2.3,17,0.508
127,640,32.98,399.66,4.99,437.63,2.25,13,0.551
128,640,22.8,419.15,8.35,450.3,2.22,16,0.495
129,640,26.51,407.13,5.09,438.74,2.27,13,0.534
130,640,24.13,406.99,5.84,436.97,2.28,16,0.525
131,640,27.94,396.95,5.15,430.04,2.32,20,0.495
132,640,23.13,411.81,7.83,442.76,2.24,17,0.503
133,640,27.74,411.6,7.78,447.12,2.23,20,0.48
134,640,22.09,412.43,7.87,442.4,2.23,17,0.516
135,640,28.38,403.42,7.69,439.49,2.27,17,0.505
136,640,26.35,408.82,5.4,440.57,2.26,17,0.492
137,640,23.93,412.02,8.13,444.08,2.22,18,0.444
138,640,21.84,409.79,7.67,439.3,2.27,15,0.505
139,640,26.08,408.47,8.49,443.04,2.25,19,0.499
140,640,32.54,403.87,5.19,441.6,2.26,19,0.506
141,640,28.97,407.64,5.04,441.65,2.26,16,0.504
142,640,26.25,411.1,7.84,445.18,2.22,15,0.482
143,640,25.87,407.68,8.15,441.7,2.26,14,0.531
144,640,26.37,405.26,8.17,439.79,2.26,17,0.484
145,640,29.88,409.88,7.73,447.49,2.22,16,0.483
146,640,24.08,411.7,7.27,443.06,2.25,17,0.498
147,640,19.57,410.42,8.08,438.06,2.27,15,0.517
148,640,24.76,415.75,8.04,448.56,2.22,20,0.476
149,640,29.0,409.79,5.91,444.71,2.24,16,0.509
150,640,31.56,404.76,5.04,441.36,2.24,15,0.494
151,640,21.73,408.92,5.44,436.09,2.28,16,0.482
152,640,25.32,415.08,7.89,448.29,2.21,17,0.529
153,640,21.91,411.62,9.35,442.88,2.25,18,0.515
154,640,23.63,408.95,5.82,438.41,2.27,16,0.539
155,640,27.25,410.34,5.31,442.91,2.23,19,0.518
156,640,23.64,403.23,7.84,434.72,2.29,20,0.512
157,640,26.74,409.73,7.34,443.81,2.23,15,0.553
158,640,27.09,406.6,9.09,442.78,2.25,17,0.534
159,640,23.82,410.12,5.92,439.86,2.27,20,0.519
160,640,25.59,400.54,5.44,431.56,2.31,20,0.54
161,640,22.14,416.32,5.12,443.58,2.25,20,0.514
