Klatka | Preprocess (ms) | Inferencja (ms) | Postprocess (ms) | FPS
---------------------------------------------------------------------------
     1 |          571.64 |          524.90 |           363.24 |  0.02
     2 |           22.22 |          435.60 |            12.23 |  2.04
     3 |           31.96 |          422.03 |             5.33 |  2.15
     4 |           14.21 |          406.14 |             5.20 |  2.31
     5 |           24.71 |          446.21 |             6.17 |  2.07
     6 |           34.59 |          420.19 |             6.15 |  2.12
     7 |           26.22 |          409.65 |             5.20 |  2.20
     8 |           30.42 |          411.67 |             5.28 |  2.19
     9 |           30.33 |          409.48 |             5.20 |  2.22
    10 |           26.67 |          410.00 |             5.16 |  2.23
    11 |           28.10 |          412.39 |             5.09 |  2.21
    12 |           28.84 |          406.42 |             5.20 |  2.23
    13 |           28.25 |          410.67 |             5.07 |  2.22
    14 |           27.70 |          406.64 |             5.07 |  2.24
    15 |           20.51 |          411.34 |             5.12 |  2.25
    16 |           23.68 |          411.71 |             5.15 |  2.23
    17 |           24.03 |          415.17 |             6.07 |  2.22
    18 |           17.52 |          408.57 |             6.35 |  2.27
    19 |           29.01 |          408.54 |             5.12 |  2.23
    20 |           21.39 |          412.83 |             5.14 |  2.22
    21 |           28.92 |          408.11 |             5.22 |  2.23
    22 |           31.53 |          407.28 |             5.18 |  2.23
    23 |           27.03 |          410.34 |             5.23 |  2.24
    24 |           25.81 |          410.58 |             5.14 |  2.23
    25 |           23.85 |          411.50 |             8.42 |  2.23
    26 |           20.55 |          412.29 |             5.17 |  2.24
    27 |           20.93 |          410.56 |             5.08 |  2.26
    28 |           27.52 |          411.23 |             5.13 |  2.23
    29 |           29.10 |          412.25 |             5.13 |  2.21
    30 |           22.26 |          410.30 |             5.12 |  2.25
    31 |           24.61 |          412.08 |             5.11 |  2.24
    32 |           22.64 |          410.85 |             7.79 |  2.23
    33 |           21.39 |          408.22 |             7.52 |  2.27
    34 |           22.92 |          408.90 |             5.12 |  2.27
    35 |           23.08 |          405.63 |             5.22 |  2.28
    36 |           25.07 |          409.81 |             5.15 |  2.24
    37 |           23.15 |          406.63 |             5.22 |  2.27
    38 |           25.67 |          407.02 |             8.94 |  2.24
    39 |           29.59 |          409.31 |             8.14 |  2.21
    40 |           25.17 |          411.41 |             5.09 |  2.25
    41 |           22.67 |          405.46 |             7.63 |  2.27
    42 |           24.40 |          411.14 |             5.10 |  2.24
    43 |           25.79 |          410.48 |             5.17 |  2.24
    44 |           26.91 |          410.75 |             5.17 |  2.22
    45 |           20.53 |          413.41 |             5.14 |  2.25
    46 |           22.47 |          412.13 |             5.18 |  2.24
    47 |           27.94 |          408.53 |             5.19 |  2.23
    48 |           21.33 |          410.89 |             5.16 |  2.26
    49 |           27.63 |          409.83 |             5.21 |  2.23
    50 |           36.49 |          406.04 |             7.84 |  2.20
    51 |           28.86 |          410.30 |             7.71 |  2.21
    52 |           31.24 |          418.47 |             5.83 |  2.17
    53 |           30.20 |          445.88 |             6.74 |  2.04
    54 |           46.14 |          427.09 |             5.32 |  2.06
    55 |           23.98 |          470.79 |             9.40 |  1.95
    56 |           34.57 |          475.55 |            13.18 |  1.90
    57 |          177.73 |          435.77 |             9.00 |  1.59
    58 |           33.07 |          420.52 |             7.53 |  2.15
    59 |           23.54 |          408.24 |             7.85 |  2.25
    60 |           25.78 |          405.40 |             7.78 |  2.25
    61 |           27.70 |          406.71 |             7.42 |  2.24
    62 |           32.69 |          410.88 |             7.43 |  2.19
    63 |           25.19 |          412.77 |             5.11 |  2.22
    64 |           29.58 |          412.24 |             5.21 |  2.21
    65 |           27.85 |          410.33 |             5.87 |  2.23
    66 |           23.68 |          420.98 |             5.17 |  2.20
    67 |           23.84 |          414.75 |             5.16 |  2.23
    68 |           24.72 |          443.69 |            10.89 |  2.05
    69 |           20.36 |          445.15 |             5.11 |  2.11
    70 |           21.99 |          406.98 |             5.04 |  2.29
    71 |           20.05 |          408.81 |             5.11 |  2.28
    72 |           19.20 |          410.97 |             5.13 |  2.28
    73 |           21.16 |          407.84 |             5.05 |  2.28
    74 |           23.75 |          414.52 |             5.12 |  2.23
    75 |           21.28 |          408.09 |             5.07 |  2.28
    76 |           31.67 |          413.97 |             5.09 |  2.19
    77 |           39.32 |          407.73 |             5.11 |  2.19
    78 |           25.92 |          412.44 |             5.16 |  2.23
    79 |           28.46 |          405.95 |             5.09 |  2.25
    80 |           30.66 |          407.26 |             5.26 |  2.24
    81 |           19.22 |          405.95 |             5.14 |  2.29
    82 |           23.77 |          406.65 |             7.42 |  2.25
    83 |           31.17 |          407.35 |             7.75 |  2.22
    84 |           33.32 |          408.14 |             7.46 |  2.20
    85 |           24.35 |          412.98 |             5.86 |  2.23
    86 |           18.02 |          403.40 |             5.09 |  2.32
    87 |           28.16 |          414.18 |             5.09 |  2.21
    88 |           28.53 |          409.08 |             5.69 |  2.23
    89 |           20.64 |          412.20 |             5.13 |  2.25
    90 |           34.64 |          413.67 |             5.11 |  2.19
    91 |           19.71 |          408.82 |             5.04 |  2.28
    92 |           19.36 |          410.28 |             7.63 |  2.26
    93 |           27.72 |          407.29 |             6.10 |  2.24
    94 |           27.86 |          406.90 |             5.07 |  2.25
    95 |           18.43 |          406.52 |             5.17 |  2.30
    96 |           28.43 |          405.20 |             5.06 |  2.25
    97 |           25.10 |          403.95 |             7.37 |  2.27
    98 |           27.52 |          419.36 |             5.05 |  2.19
    99 |           23.11 |          402.88 |             4.97 |  2.30
   100 |           27.97 |          406.04 |             5.06 |  2.25
   101 |           21.44 |          403.02 |             5.01 |  2.29
   102 |           24.95 |          406.26 |             5.10 |  2.27
   103 |           33.60 |          408.85 |             5.14 |  2.21
   104 |           33.02 |          409.93 |             5.13 |  2.20
   105 |           34.20 |          412.42 |             5.16 |  2.18
   106 |           30.03 |          409.90 |             5.11 |  2.22
   107 |           26.63 |          405.40 |             5.04 |  2.27
   108 |           25.33 |          407.01 |             5.05 |  2.27
   109 |           22.86 |          402.02 |             5.10 |  2.31
   110 |           25.25 |          408.07 |             7.63 |  2.25
   111 |           26.32 |          404.27 |             5.09 |  2.28
   112 |           20.22 |          406.48 |             5.20 |  2.29
   113 |           33.11 |          406.59 |             5.08 |  2.23
   114 |           26.03 |          405.75 |             5.13 |  2.26
   115 |           26.86 |          405.59 |             7.40 |  2.24
   116 |           28.31 |          411.80 |             7.44 |  2.22
   117 |           24.07 |          405.01 |             5.56 |  2.28
   118 |           29.34 |          402.86 |             5.04 |  2.27
   119 |          154.93 |          401.96 |             5.02 |  1.74
   120 |           23.12 |          408.30 |             7.41 |  2.26
   121 |           27.04 |          405.98 |             5.09 |  2.26
   122 |           24.25 |          406.17 |             5.12 |  2.27
   123 |           26.03 |          402.00 |             5.12 |  2.27
   124 |           18.10 |          403.82 |             7.38 |  2.29
   125 |           31.14 |          411.62 |             7.45 |  2.20
   126 |           31.29 |          412.66 |             5.31 |  2.21
   127 |           17.17 |          404.96 |             5.30 |  2.32
   128 |           20.28 |          405.43 |             5.24 |  2.29
   129 |           31.55 |          412.93 |             9.04 |  2.18
   130 |           23.35 |          412.76 |             5.13 |  2.22
   131 |           30.27 |          411.62 |             5.09 |  2.21
   132 |           28.91 |          410.34 |             5.22 |  2.23
   133 |           24.29 |          408.33 |             5.19 |  2.26
   134 |           26.46 |          409.47 |             5.41 |  2.24
   135 |           25.68 |          407.43 |             5.41 |  2.25
   136 |           15.74 |          405.62 |             5.22 |  2.32
   137 |           26.34 |          412.78 |             5.19 |  2.22
   138 |           26.61 |          411.74 |             5.23 |  2.23
   139 |           22.92 |          412.77 |             5.14 |  2.25
   140 |           21.90 |          403.79 |             5.17 |  2.30
   141 |           23.40 |          407.10 |             7.52 |  2.26
   142 |           23.52 |          410.83 |             7.81 |  2.24
   143 |           25.91 |          407.62 |             5.19 |  2.26
   144 |           25.33 |          404.64 |             7.43 |  2.26
   145 |           20.60 |          413.40 |             7.45 |  2.25
   146 |           27.16 |          402.16 |             5.18 |  2.28
   147 |           22.33 |          406.52 |             7.41 |  2.27
   148 |           23.97 |          406.67 |             8.42 |  2.25
   149 |           27.27 |          404.38 |             5.05 |  2.25
   150 |           21.44 |          405.84 |             5.17 |  2.29
   151 |           31.36 |          414.12 |             5.53 |  2.19
   152 |           24.01 |          409.66 |             7.85 |  2.24
   153 |           17.90 |          415.78 |             7.43 |  2.23
   154 |           27.58 |          408.49 |             5.22 |  2.24
   155 |           21.84 |          409.95 |             5.10 |  2.26
   156 |           26.49 |          410.79 |             5.26 |  2.23
   157 |           34.76 |          413.43 |             8.68 |  2.16
   158 |           31.53 |          414.49 |             5.15 |  2.19
   159 |           28.03 |          413.00 |             7.39 |  2.20
   160 |           22.36 |          406.39 |             5.16 |  2.28
   161 |           21.95 |          404.18 |             6.17 |  2.29
   162 |           20.04 |          407.90 |             5.14 |  2.28
   163 |           18.63 |          404.21 |             5.23 |  2.31
   164 |           33.21 |          408.56 |             8.99 |  2.19
   165 |           25.43 |          413.31 |             7.50 |  2.22
   166 |           36.01 |          408.92 |             5.24 |  2.21
   167 |           18.55 |          410.22 |             7.90 |  2.26
   168 |           26.25 |          410.26 |             7.51 |  2.23
   169 |           24.41 |          404.01 |             5.16 |  2.28
   170 |           22.00 |          441.49 |             5.23 |  2.11
   171 |           21.84 |          405.99 |             5.21 |  2.28
   172 |           25.26 |          406.78 |             5.14 |  2.26
   173 |           20.54 |          412.47 |             5.21 |  2.26
   174 |           22.73 |          408.16 |             5.27 |  2.27
   175 |           24.06 |          402.27 |             5.21 |  2.29
   176 |           17.61 |          406.85 |             5.22 |  2.30
