Klatka | Preprocess (ms) | Inferencja (ms) | Postprocess (ms) | FPS
---------------------------------------------------------------------------
     1 |          546.27 |          124.91 |           298.97 |  0.02
     2 |            3.67 |           27.11 |             4.38 | 21.41
     3 |            6.02 |           40.48 |            13.44 | 14.97
     4 |            4.95 |           21.76 |             8.39 | 24.73
     5 |            5.72 |           34.39 |             3.92 | 20.70
     6 |            7.52 |           29.86 |             3.15 | 22.24
     7 |            7.81 |           27.40 |             4.64 | 22.68
     8 |            9.95 |           27.91 |             4.46 | 20.55
     9 |            5.37 |           29.59 |             3.20 | 20.49
    10 |            7.86 |           28.78 |             6.42 | 20.03
    11 |           10.88 |           30.13 |             7.27 | 18.61
    12 |            8.04 |           27.54 |             3.26 | 23.66
    13 |            6.19 |           25.95 |             3.07 | 25.05
    14 |            8.24 |           31.62 |             2.07 | 21.24
    15 |            6.32 |           26.02 |             4.04 | 21.38
    16 |            7.22 |           28.14 |             4.29 | 22.57
    17 |            8.63 |           23.10 |             4.04 | 25.27
    18 |            6.19 |           27.04 |             3.88 | 23.07
    19 |            8.87 |           28.11 |             5.15 | 21.20
    20 |            8.70 |           26.31 |             3.00 | 22.98
    21 |            5.50 |           27.93 |             3.97 | 23.32
    22 |            6.39 |           22.51 |             3.08 | 27.60
    23 |            7.39 |           23.23 |             3.80 | 26.08
    24 |           10.27 |           24.27 |             5.38 | 22.10
    25 |            8.42 |           26.50 |             3.47 | 23.36
    26 |            7.51 |           28.60 |             5.07 | 21.48
    27 |           10.27 |           23.47 |             4.43 | 23.16
    28 |           10.94 |           25.64 |             3.92 | 22.10
    29 |            6.56 |           29.58 |             7.37 | 20.48
    30 |            7.69 |           25.62 |             3.54 | 24.39
    31 |            7.27 |           24.43 |             3.14 | 25.81
    32 |            8.80 |           25.93 |             5.52 | 22.25
    33 |            9.01 |           25.32 |             4.90 | 23.26
    34 |           10.20 |           29.67 |             4.09 | 20.53
    35 |            6.50 |           27.00 |             3.05 | 24.66
    36 |            9.05 |           23.55 |             4.13 | 24.60
    37 |            8.32 |           25.02 |             6.03 | 22.99
    38 |            9.67 |           25.08 |             3.40 | 23.32
    39 |            7.60 |           26.15 |             5.41 | 22.57
    40 |            4.82 |           23.81 |             5.98 | 26.20
    41 |           11.09 |           24.26 |             3.07 | 23.80
    42 |            9.93 |           26.22 |             3.31 | 22.56
    43 |            4.67 |           25.06 |             3.11 | 27.75
    44 |            3.67 |           25.69 |             6.64 | 24.36
    45 |            9.73 |           32.11 |             6.72 | 17.84
    46 |            8.22 |           28.74 |             6.35 | 20.56
    47 |           11.68 |           28.19 |             6.86 | 19.47
    48 |            5.81 |           26.62 |             3.07 | 25.42
    49 |            8.11 |           28.21 |             4.75 | 21.54
    50 |            6.71 |           24.05 |             3.20 | 26.45
    51 |            6.49 |           27.68 |             3.10 | 24.52
    52 |            7.24 |           22.69 |             3.17 | 26.68
    53 |            7.56 |           25.88 |             6.55 | 22.98
    54 |           10.82 |           28.16 |             6.05 | 20.48
    55 |            6.92 |           30.41 |             3.06 | 22.52
    56 |            7.62 |           24.00 |             4.86 | 24.45
    57 |            7.94 |           26.16 |             7.01 | 22.04
    58 |           11.26 |           26.04 |             4.78 | 21.04
    59 |           13.27 |           24.64 |             4.78 | 21.14
    60 |            7.93 |           26.14 |             4.76 | 23.01
    61 |            7.82 |           23.38 |             4.24 | 24.00
    62 |            9.86 |           27.15 |             3.15 | 22.13
    63 |            5.28 |           23.67 |             3.40 | 27.22
    64 |            7.29 |           23.77 |             3.12 | 26.39
    65 |            6.59 |           22.90 |             3.17 | 27.03
    66 |            8.21 |           27.55 |             3.03 | 22.82
    67 |           11.35 |           27.04 |             3.16 | 22.05
    68 |            6.94 |           23.43 |             3.11 | 26.94
    69 |           13.92 |           25.04 |             4.07 | 21.17
    70 |            7.44 |           29.11 |             5.40 | 21.32
    71 |           10.62 |           27.04 |             5.23 | 20.70
    72 |            7.06 |           26.82 |             3.20 | 24.68
    73 |            8.57 |           24.84 |             4.98 | 23.39
    74 |            5.86 |           25.20 |             3.33 | 25.36
    75 |           12.28 |           25.29 |             3.15 | 22.03
    76 |            5.95 |           29.44 |             3.81 | 23.39
    77 |            6.79 |           25.98 |             5.02 | 23.72
    78 |            7.53 |           24.17 |             5.56 | 24.01
    79 |            8.59 |           29.73 |             6.00 | 20.65
    80 |            9.16 |           27.24 |             3.11 | 22.54
    81 |            5.14 |           26.34 |             3.06 | 24.42
    82 |            5.66 |           28.07 |             5.92 | 22.87
    83 |            8.71 |           28.42 |             3.51 | 22.36
    84 |            6.63 |           23.34 |             4.33 | 25.84
    85 |            7.11 |           25.55 |             4.58 | 24.38
    86 |           10.14 |           26.22 |             5.43 | 21.32
    87 |           10.30 |           25.44 |             5.84 | 21.65
    88 |            9.19 |           26.53 |             4.83 | 22.42
    89 |           12.00 |           28.84 |             4.81 | 19.82
    90 |           12.93 |           24.20 |             3.13 | 22.89
    91 |            8.92 |           26.99 |             3.12 | 22.64
    92 |            7.47 |           21.54 |             3.30 | 27.25
    93 |           11.21 |           27.89 |             3.14 | 21.68
    94 |            6.27 |           27.25 |             3.85 | 24.02
    95 |            7.16 |           28.73 |             3.10 | 23.67
    96 |            9.77 |           24.85 |             4.01 | 22.32
    97 |            8.97 |           27.72 |             6.68 | 21.36
    98 |            7.31 |           25.96 |             8.31 | 21.36
    99 |            8.29 |           26.26 |             3.10 | 23.27
   100 |            7.12 |           22.72 |             3.08 | 25.01
   101 |            6.31 |           30.10 |             5.94 | 21.59
   102 |            9.67 |           27.75 |             4.12 | 21.66
   103 |            7.60 |           28.56 |             4.82 | 21.69
   104 |            6.68 |           26.66 |             3.13 | 24.52
   105 |            6.39 |           26.26 |             3.78 | 24.04
   106 |           11.76 |           25.21 |             4.60 | 21.70
   107 |            9.82 |           25.01 |             3.39 | 23.60
   108 |            5.27 |           25.89 |             3.13 | 26.12
   109 |            4.98 |           25.83 |             4.62 | 25.17
   110 |            8.84 |           26.14 |             3.14 | 23.95
   111 |           11.20 |           24.13 |             3.51 | 22.93
   112 |            7.79 |           25.06 |             3.18 | 24.51
   113 |            6.15 |           26.22 |             4.17 | 25.11
   114 |            8.47 |           23.84 |             5.04 | 23.48
   115 |            7.57 |           25.64 |             6.06 | 22.53
   116 |           10.35 |           32.63 |             5.90 | 17.67
   117 |            6.46 |           25.29 |             4.63 | 23.77
   118 |            5.17 |           27.67 |             3.06 | 25.20
   119 |            5.80 |           27.80 |             3.07 | 24.65
   120 |            7.24 |           26.05 |             6.81 | 22.41
   121 |            9.67 |           28.25 |             3.10 | 21.87
   122 |            9.47 |           27.16 |             4.77 | 21.42
   123 |            9.08 |           23.02 |             3.24 | 25.60
   124 |           10.70 |           24.81 |             5.59 | 21.83
   125 |            9.09 |           31.46 |             3.86 | 20.51
   126 |            3.34 |           27.76 |             3.83 | 26.37
   127 |            4.76 |           29.02 |             3.24 | 24.63
   128 |            6.64 |           27.20 |             6.59 | 22.18
   129 |           10.93 |           25.14 |             5.16 | 21.04
   130 |            9.70 |           25.38 |             3.13 | 23.78
   131 |            6.52 |           26.54 |             3.18 | 24.43
   132 |            9.52 |           26.32 |             6.71 | 21.12
   133 |           10.80 |           23.97 |             3.12 | 23.72
   134 |            9.68 |           27.55 |             3.33 | 21.82
   135 |           11.46 |           25.87 |             4.74 | 21.35
   136 |            8.63 |           25.96 |             3.09 | 24.06
   137 |            5.13 |           29.46 |             3.04 | 24.58
   138 |            8.22 |           27.56 |             3.61 | 22.57
   139 |            7.92 |           26.51 |             3.10 | 23.60
   140 |            5.52 |           27.67 |             3.08 | 25.18
   141 |            6.41 |           23.93 |             5.40 | 24.95
   142 |            8.08 |           25.08 |             6.28 | 22.03
   143 |           10.34 |           25.49 |             3.16 | 22.83
   144 |            9.04 |           29.96 |             6.80 | 19.52
   145 |            9.36 |           23.96 |             7.07 | 22.67
   146 |            7.33 |           28.14 |             5.57 | 21.81
   147 |            5.29 |           28.08 |             4.83 | 22.38
   148 |            6.72 |           26.35 |             3.41 | 24.34
   149 |           11.11 |           28.40 |             7.99 | 19.12
   150 |            9.69 |           28.60 |             4.85 | 21.36
   151 |           11.01 |           26.57 |             5.69 | 20.82
   152 |           11.40 |           27.04 |             5.34 | 20.64
